        cfo  sto   snr  txp     ber  invalid
 961.005482    3 13.45  -20 0.00000        0
1091.251972    0 13.63  -20 0.00000        0
1285.979123    3 13.64  -20 0.00000        0
 787.972718    3 13.58  -20 0.00000        0
1612.160499    4 13.70  -20 0.00000        0
1468.583757    0 13.63  -20 0.00000        0
1285.852006    1 13.59  -20 0.00000        0
1169.965159    6 13.35  -20 0.00000        0
1232.590641    7 13.56  -20 0.00000        0
1292.617332    4 13.88  -20 0.00000        0
 949.358349    4 13.73  -20 0.00000        0
 837.156543    7 13.62  -20 0.00000        0
1152.463866    7 13.60  -20 0.00000        0
1675.993953    3 13.53  -20 0.00000        0
 610.808106    7 13.40  -20 0.00000        0
1084.908078    5 13.56  -20 0.00000        0
1166.191835    2 13.32  -20 0.00000        0
1116.458809    3 13.52  -20 0.00000        0
1389.963417    1 13.68  -20 0.00000        0
1124.914251    1 13.53  -20 0.00000        0
2123.140113    5 13.60  -20 0.00000        0
 662.487202    7 13.44  -20 0.00000        0
1165.674353    1 13.71  -20 0.00000        0
