;Scopy version,f4beeb1
;Exported on,samedi octobre 12/10/2024
;Device,M2K
;Nr of samples,16937
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
507,0.507,0.0295605,-0.0732059
508,0.508,0.0295605,-0.0732059
509,0.509,0.0295605,-0.0732059
510,0.51,0.0295605,-0.0732059
511,0.511,0.0295605,-0.0732059
512,0.512,0.0295605,-0.0732059
513,0.513,0.0295605,-0.0732059
514,0.514,0.0295605,-0.0732059
515,0.515,0.0295605,-0.0732059
516,0.516,0.0295605,-0.0732059
517,0.517,0.0295605,-0.0732059
518,0.518,0.0295605,-0.0732059
519,0.519,0.0295605,-0.0732059
520,0.52,0.0295605,-0.0732059
521,0.521,0.0295605,-0.0732059
522,0.522,0.0295605,-0.0732059
523,0.523,0.0295605,-0.0732059
524,0.524,0.0295605,-0.0732059
525,0.525,0.0295605,-0.0732059
526,0.526,0.0295605,-0.0732059
527,0.527,0.0295605,-0.0732059
528,0.528,0.0295605,-0.0732059
529,0.529,0.0295605,-0.0732059
530,0.53,0.0295605,-0.0732059
531,0.531,0.0295605,-0.0732059
532,0.532,0.0295605,-0.0732059
533,0.533,0.0295605,-0.0732059
534,0.534,0.0295605,-0.0732059
535,0.535,0.0295605,-0.0732059
536,0.536,0.0295605,-0.0732059
537,0.537,0.0295605,-0.0732059
538,0.538,0.0295605,-0.0732059
539,0.539,0.0295605,-0.0732059
540,0.54,0.0295605,-0.0732059
541,0.541,0.0295605,-0.0732059
542,0.542,0.0295605,-0.0732059
543,0.543,0.0295605,-0.0732059
544,0.544,0.0295605,-0.0732059
545,0.545,0.0295605,-0.0732059
546,0.546,0.0295605,-0.0732059
547,0.547,0.0295605,-0.0732059
548,0.548,0.0295605,-0.0732059
549,0.549,0.0295605,-0.0732059
550,0.55,0.0295605,-0.0732059
551,0.551,0.0295605,-0.0732059
552,0.552,0.0295605,-0.0732059
553,0.553,0.0295605,-0.0732059
554,0.554,0.0295605,-0.0732059
555,0.555,0.0295605,-0.0732059
556,0.556,0.0295605,-0.0732059
557,0.557,0.0295605,-0.0732059
558,0.558,0.0295605,-0.0732059
559,0.559,0.0295605,-0.0732059
560,0.56,0.0295605,-0.0732059
561,0.561,0.0295605,-0.0732059
562,0.562,0.0295605,-0.0732059
563,0.563,0.0295605,-0.0732059
564,0.564,0.0295605,-0.0732059
565,0.565,0.0295605,-0.0732059
566,0.566,0.0295605,-0.0732059
567,0.567,0.0295605,-0.0732059
568,0.568,0.0295605,-0.0732059
569,0.569,0.0295605,-0.0732059
570,0.57,0.0295605,-0.0732059
571,0.571,0.0295605,-0.0732059
572,0.572,0.0295605,-0.0732059
573,0.573,0.0295605,-0.0732059
574,0.574,0.0295605,-0.0732059
575,0.575,0.0295605,-0.0732059
576,0.576,0.0295605,-0.0732059
577,0.577,0.0295605,-0.0732059
578,0.578,0.0295605,-0.0732059
579,0.579,0.0295605,-0.0732059
580,0.58,0.0295605,-0.0732059
581,0.581,0.0295605,-0.0732059
582,0.582,0.0295605,-0.0732059
583,0.583,0.0295605,-0.0732059
584,0.584,0.0295605,-0.0732059
585,0.585,0.0295605,-0.0732059
586,0.586,0.0295605,-0.0732059
587,0.587,0.0295605,-0.0732059
588,0.588,0.0295605,-0.0732059
589,0.589,0.0295605,-0.0732059
590,0.59,0.0295605,-0.0732059
591,0.591,0.0295605,-0.0732059
592,0.592,0.0295605,-0.0732059
593,0.593,0.0295605,-0.0732059
594,0.594,0.0295605,-0.0732059
595,0.595,0.0295605,-0.0732059
596,0.596,0.0295605,-0.0732059
597,0.597,0.0295605,-0.0732059
598,0.598,0.0295605,-0.0732059
599,0.599,0.0295605,-0.0732059
600,0.6,0.0295605,-0.0732059
601,0.601,0.0295605,-0.0732059
602,0.602,0.0295605,-0.0732059
603,0.603,0.0295605,-0.0732059
604,0.604,0.0295605,-0.0732059
605,0.605,0.0295605,-0.0732059
606,0.606,0.0295605,-0.0732059
607,0.607,0.0295605,-0.0732059
608,0.608,0.0295605,-0.0732059
609,0.609,0.0295605,-0.0732059
610,0.61,0.0295605,-0.0732059
611,0.611,0.0295605,-0.0732059
612,0.612,0.0295605,-0.0732059
613,0.613,0.0295605,-0.0732059
614,0.614,0.0295605,-0.0732059
615,0.615,0.0295605,-0.0732059
616,0.616,0.0295605,-0.0732059
617,0.617,0.0295605,-0.0732059
618,0.618,0.0295605,-0.0732059
619,0.619,0.0295605,-0.0732059
620,0.62,0.0295605,-0.0732059
621,0.621,0.0295605,-0.0732059
622,0.622,0.0295605,-0.0732059
623,0.623,0.0295605,-0.0732059
624,0.624,0.0295605,-0.0732059
625,0.625,0.0295605,-0.0732059
626,0.626,0.0295605,-0.0732059
627,0.627,0.0295605,-0.0732059
628,0.628,0.0295605,-0.0732059
629,0.629,0.0295605,-0.0732059
630,0.63,0.0295605,-0.0732059
631,0.631,0.0295605,-0.0732059
632,0.632,0.0295605,-0.0732059
633,0.633,0.0295605,-0.0732059
634,0.634,0.0295605,-0.0732059
635,0.635,0.0295605,-0.0732059
636,0.636,0.0295605,-0.0732059
637,0.637,0.0295605,-0.0732059
638,0.638,0.0295605,-0.0732059
639,0.639,0.0295605,-0.0732059
640,0.64,0.0295605,-0.0732059
641,0.641,0.0295605,-0.0732059
642,0.642,0.0295605,-0.0732059
643,0.643,0.0295605,-0.0732059
644,0.644,0.0295605,-0.0732059
645,0.645,0.0295605,-0.0732059
646,0.646,0.0295605,-0.0732059
647,0.647,0.0295605,-0.0732059
648,0.648,0.0295605,-0.0732059
649,0.649,0.0295605,-0.0732059
650,0.65,0.0295605,-0.0732059
651,0.651,0.0295605,-0.0732059
652,0.652,0.0295605,-0.0732059
653,0.653,0.0295605,-0.0732059
654,0.654,0.0295605,-0.0732059
655,0.655,0.0295605,-0.0732059
656,0.656,0.0295605,-0.0732059
657,0.657,0.0295605,-0.0732059
658,0.658,0.0295605,-0.0732059
659,0.659,0.0295605,-0.0732059
660,0.66,0.0295605,-0.0732059
661,0.661,0.0295605,-0.0732059
662,0.662,0.0295605,-0.0732059
663,0.663,0.0295605,-0.0732059
664,0.664,0.0295605,-0.0732059
665,0.665,0.0295605,-0.0732059
666,0.666,0.0295605,-0.0732059
667,0.667,0.0295605,-0.0732059
668,0.668,0.0295605,-0.0732059
669,0.669,0.0295605,-0.0732059
670,0.67,0.0295605,-0.0732059
671,0.671,0.0295605,-0.0732059
672,0.672,0.0295605,-0.0732059
673,0.673,0.0295605,-0.0732059
674,0.674,0.0295605,-0.0732059
675,0.675,0.0295605,-0.0732059
676,0.676,0.0295605,-0.0732059
677,0.677,0.0295605,-0.0732059
678,0.678,0.0295605,-0.0732059
679,0.679,0.0295605,-0.0732059
680,0.68,0.0295605,-0.0732059
681,0.681,0.0295605,-0.0732059
682,0.682,0.0295605,-0.0732059
683,0.683,0.0295605,-0.0732059
684,0.684,0.0295605,-0.0732059
685,0.685,0.0295605,-0.0732059
686,0.686,0.0295605,-0.0732059
687,0.687,0.0295605,-0.0732059
688,0.688,0.0295605,-0.0732059
689,0.689,0.0295605,-0.0732059
690,0.69,0.0295605,-0.0732059
691,0.691,0.0295605,-0.0732059
692,0.692,0.0295605,-0.0732059
693,0.693,0.0295605,-0.0732059
694,0.694,0.0295605,-0.0732059
695,0.695,0.0295605,-0.0732059
696,0.696,0.0295605,-0.0732059
697,0.697,0.0295605,-0.0732059
698,0.698,0.0295605,-0.0732059
699,0.699,0.0295605,-0.0732059
700,0.7,0.0295605,-0.0732059
701,0.701,0.0295605,-0.0732059
