;Scopy version,f4beeb1
;Exported on,mardi octobre 08/10/2024
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
433,-0.402,0.0173885
434,-0.401,0.0173885
435,-0.4,0.0173885
436,-0.399,0.0173885
437,-0.398,0.0173885
438,-0.397,0.0173885
439,-0.396,0.0173885
440,-0.395,0.0173885
441,-0.394,0.0173885
442,-0.393,0.0173885
443,-0.392,0.0173885
444,-0.391,0.0173885
445,-0.39,0.0173885
446,-0.389,0.0173885
447,-0.388,0.0173885
448,-0.387,0.0173885
449,-0.386,0.0173885
450,-0.385,0.0173885
451,-0.384,0.0173885
452,-0.383,0.0173885
453,-0.382,0.0173885
454,-0.381,0.0173885
455,-0.38,0.0173885
456,-0.379,0.0173885
457,-0.378,0.0173885
458,-0.377,0.0173885
459,-0.376,0.0173885
460,-0.375,0.0173885
461,-0.374,0.0173885
462,-0.373,0.0173885
463,-0.372,0.0173885
464,-0.371,0.0173885
465,-0.37,0.0173885
466,-0.369,0.0173885
467,-0.368,0.0173885
468,-0.367,0.0173885
469,-0.366,0.0173885
470,-0.365,0.0173885
471,-0.364,0.0173885
472,-0.363,0.0173885
473,-0.362,0.0173885
474,-0.361,0.0173885
475,-0.36,0.0173885
476,-0.359,0.0173885
477,-0.358,0.0173885
478,-0.357,0.0173885
479,-0.356,0.0173885
480,-0.355,0.0173885
481,-0.354,0.0173885
482,-0.353,0.0173885
483,-0.352,0.0173885
484,-0.351,0.0173885
485,-0.35,0.0173885
486,-0.349,0.0173885
487,-0.348,0.0173885
488,-0.347,0.0173885
489,-0.346,0.0173885
490,-0.345,0.0173885
491,-0.344,0.0173885
492,-0.343,0.0173885
493,-0.342,0.0173885
494,-0.341,0.0173885
495,-0.34,0.0173885
496,-0.339,0.0173885
497,-0.338,0.0173885
498,-0.337,0.0173885
499,-0.336,0.0173885
500,-0.335,0.0173885
501,-0.334,0.0173885
502,-0.333,0.0173885
503,-0.332,0.0173885
504,-0.331,0.0173885
505,-0.33,0.0173885
506,-0.329,0.0173885
507,-0.328,0.0173885
508,-0.327,0.0173885
509,-0.326,0.0173885
510,-0.325,0.0173885
511,-0.324,0.0173885
512,-0.323,0.0173885
513,-0.322,0.0173885
514,-0.321,0.0173885
515,-0.32,0.0173885
516,-0.319,0.0173885
517,-0.318,0.0173885
518,-0.317,0.0173885
519,-0.316,0.0173885
520,-0.315,0.0173885
521,-0.314,0.0173885
522,-0.313,0.0173885
523,-0.312,0.0173885
524,-0.311,0.0173885
525,-0.31,0.0173885
526,-0.309,0.0173885
527,-0.308,0.0173885
528,-0.307,0.0173885
529,-0.306,0.0173885
530,-0.305,0.0173885
531,-0.304,0.0173885
532,-0.303,0.0173885
533,-0.302,0.0173885
534,-0.301,0.0173885
535,-0.3,0.0173885
536,-0.299,0.0173885
537,-0.298,0.0173885
538,-0.297,0.0173885
539,-0.296,0.0173885
540,-0.295,0.0173885
541,-0.294,0.0173885
542,-0.293,0.0173885
543,-0.292,0.0173885
544,-0.291,0.0173885
545,-0.29,0.0173885
546,-0.289,0.0173885
547,-0.288,0.0173885
548,-0.287,0.0173885
549,-0.286,0.0173885
550,-0.285,0.0173885
551,-0.284,0.0173885
552,-0.283,0.0173885
553,-0.282,0.0173885
554,-0.281,0.0173885
555,-0.28,0.0173885
556,-0.279,0.0173885
557,-0.278,0.0173885
558,-0.277,0.0173885
559,-0.276,0.0173885
560,-0.275,0.0173885
561,-0.274,0.0173885
562,-0.273,0.0173885
563,-0.272,0.0173885
564,-0.271,0.0173885
565,-0.27,0.0173885
566,-0.269,0.0173885
567,-0.268,0.0173885
568,-0.267,0.0173885
569,-0.266,0.0173885
570,-0.265,0.0173885
571,-0.264,0.0173885
572,-0.263,0.0173885
573,-0.262,0.0173885
574,-0.261,0.0173885
575,-0.26,0.0173885
576,-0.259,0.0173885
577,-0.258,0.0173885
578,-0.257,0.0173885
579,-0.256,0.0173885
580,-0.255,0.0173885
581,-0.254,0.0173885
582,-0.253,0.0173885
583,-0.252,0.0173885
584,-0.251,0.0173885
585,-0.25,0.0173885
586,-0.249,0.0173885
